USA		Japan	United Kingdom	France	Italy	Canada	Korea	Australia	Spain	Mexico	Netherlands	Switzerland	Germany	Sweden	Belgium	Austria	Norway
Q4-1975	1.348168	1.05151	1.141866	1.350335	1.120332	1.153677	3.169893	-1.434137	0.702837	1.081194	3.813412	-0.713896	1.965055	1.276689	2.127561	2.376262	1.799407
Q1-1976	2.258171	0.847325	1.591134	1.467729	1.761833	1.738217	3.017996	4.359049	0.993843	1.056567	0.18883	-0.088898	0.898503	-1.666195	2.074299	-0.363839	2.150529
Q2-1976	0.755573	0.5908	-0.17391	1.192261	1.80745	2.16138	4.540629	0.520795	1.154239	1.046903	0.09952	0.512928	1.485515	1.7669	2.019118	1.84598	1.718176
Q3-1976	0.508464	1.406011	1.248103	0.472916	2.541459	0.435485	2.130404	0.669953	0.969908	0.820825	3.533003	1.658509	0.029869	-0.541326	0.873671	2.29554	1.308634
Q4-1976	0.750577	0.118914	2.109698	1.24584	1.73467	0.211307	0.955228	0.856673	0.767893	0.591004	-1.692872	1.119221	1.85158	-0.462996	-0.278587	1.361667	0.916126
Q1-1977	1.163514	2.187257	0.056335	1.105448	0.03961	1.381777	1.143471	-0.535871	0.792236	0.589219	1.213842	-0.058254	0.853944	-2.032863	-0.278875	0.18659	0.535594
Q2-1977	1.962646	0.703788	-0.737375	0.434796	-0.556863	0.568182	4.91697	1.415246	0.453631	0.574541	0.013692	-0.005069	0.566949	1.010681	-0.275711	1.426333	0.71005
Q3-1977	1.769143	0.681687	0.69857	0.458443	-0.935348	0.481272	6.039229	-0.450365	0.332297	1.396296	0.825347	0.780597	-0.028905	0.143076	0.31293	0.315147	0.881061
Q4-1977	0.010503	1.356457	1.721957	0.228252	0.856853	1.592801	3.771243	-0.324168	0.668054	2.241386	0.997052	-0.062869	1.720637	-0.591868	0.940359	2.305532	1.047887
Q1-1978	0.347944	1.889185	0.866076	1.389139	1.634294	0.855447	-0.790242	0.713572	0.624253	2.178848	0.253524	-0.012582	0.412115	1.622628	0.925984	-4.375787	1.532262
Q2-1978	3.888042	0.972001	1.216447	1.662617	1.729759	0.917656	3.038537	0.939399	0.202602	2.11073	0.183915	0.226501	0.396382	1.557889	0.908158	1.884673	1.621405
Q3-1978	0.977915	1.293282	1.351223	-0.087958	0.526216	0.720607	1.624088	1.386553	-0.12271	2.237665	0.935098	0.035154	1.311341	-2.062252	0.644273	0.657607	1.1998
Q4-1978	1.341227	1.443062	0.913999	0.851111	1.523831	0.849941	4.755764	0.827997	-0.147991	2.353971	1.756247	0.386556	1.169105	1.628871	0.36356	0.665147	0.131658
Q1-1979	0.198683	1.495581	-0.389827	0.860055	1.579975	0.860161	4.678412	2.825749	-0.159396	2.275445	-4.905977	0.725127	0.123656	2.064018	0.36028	2.316319	-0.436647
Q2-1979	0.121062	1.827155	4.434243	0.955992	0.727096	1.356926	0.594433	-1.618198	0.155449	2.21204	5.824767	0.561031	3.105253	1.60559	0.354987	1.289	2.990434
Q3-1979	0.718044	0.762664	-2.197886	1.143099	1.730408	0.647063	-2.665651	0.918177	0.240502	2.070865	0.740056	0.940532	0.000008	0.275914	0.953922	0.879436	2.606959
Q4-1979	0.258884	0.434649	1.049797	0.190207	2.353894	0.672468	-1.542924	1.919065	0.351518	1.918081	1.539027	1.530937	0.612993	0.106839	1.576812	1.328876	0.897165
Q1-1980	0.323469	0.382552	-0.977353	1.076484	-0.1836	0.706783	0.815654	0.401268	0.669638	2.769102	-0.057879	1.89392	0.801235	3.12784	3.762455	1.06976	3.881183
Q2-1980	-2.028135	-0.527155	-1.972172	-0.576307	0.776049	-0.032937	-0.591788	0.309869	0.339903	0.652366	-1.851383	0.291044	-0.643802	-4.767321	-0.666235	-1.049	-2.042632
Q3-1980	-0.151519	2.239932	-0.116068	0.119915	0.083677	-0.135436	1.931559	0.516565	-0.396523	2.158765	-0.671178	0.665695	-0.396722	3.796628	-0.979381	0.521108	-1.801524
Q4-1980	1.853267	2.125488	-1.054695	-0.122614	0.852303	1.395319	-2.609766	1.722036	0.580016	2.895866	2.320444	0.441722	-0.13276	-1.956995	-0.204555	0.055055	2.159556
